"TAG","MODELO","OM","DATA","ÁREA DE INSPEÇÃO","HORÍMETRO","Analista Técnico","LADO","RODA GUIA","ELO","MOTRIZ(3 GARRAS)","ROLETE SUPERIOR 1","ROLETE SUPERIOR 2","ROLETE SUPERIOR 3","ROLETE SUPERIOR 4","ROLETE SUPERIOR 5","SAPATA","PASSO DA ESTEIRA","BUCHA","ROLETE INFERIOR","ROLETES DANIFICADOS (VISUAL)."
"1101PF1803","Pit Viper/DR416i","202505257358","10/28/2025","PÁTIO 320","50,282","BRUNO SILVA","LNC(lado não cabine)","31.5","155","279","188","188","189","189","189","81","1,047","14","69.3","0"
"1101PF1803","Pit Viper/DR416i","202504585800","9/23/2025","FASE 4","49,769","BRUNO SILVA","LC (lado cabine)","32","153","279","188","188","189","189","189","82","1,046","14","69.5","0"
"1101PF1803","Pit Viper/DR416i","202504585800","9/23/2025","FASE 4","49,769","BRUNO SILVA","LNC(lado não cabine)","31.5","155","279.5","188","188","189","189","189","81.5","1,047","14","69.6","0"
"PZ1001SA15","Pit Viper/DR416i","202505260649","10/29/2025","FASE 5","40,902","BRUNO SILVA","LC (lado cabine)","31","154.5","278","198","197","197","196","198","83","1,047","13.5","69.6","3"
"PZ1001SA15","Pit Viper/DR416i","202505260649","10/29/2025","FASE 5","40,902","BRUNO SILVA","LNC(lado não cabine)","31.5","154","279","196","196","197","197","196","83","1,046","13.4","69.6","4"
"PZ1001SA35","Pit Viper/DR416i","202504102609","8/28/2025","PÁTIO 320","20,923","BRUNO SILVA","LC (lado cabine)","22.5","155","279","187","187","188","187","188","79","1,045","13.9","69.6","0"
"PZ1001SA35","Pit Viper/DR416i","202504102609","8/28/2025","PÁTIO 320","20,923","BRUNO SILVA","LNC(lado não cabine)","23","155","278","188","189","189","189","189","83.5","1,046","13.8","69.1","0"
"PZ1001SA22","FlexiROC D65","202504685649","10/9/2025","FASE 6","17,915","BRUNO SILVA","LC (lado cabine)","18","87","184","96",,,,,"22","689","8.1","42.6","0"
"PZ1001SA22","FlexiROC D65","202504685649","10/9/2025","FASE 6","17,915","BRUNO SILVA","LNC(lado não cabine)","18","87","186","98",,,,,"22","688","8.1","42.5","0"
"PZ1001SA42","Pit Viper/DR416i","202501606657","8/7/2025","FASE 6","20,372","BRUNO SILVA","LC (lado cabine)","23","154","283","259","189","189","189","189","79","1,047","13.8","69.3","0"
"PZ1001SA42","Pit Viper/DR416i","202501606657","8/7/2025","FASE 6","20,372","BRUNO SILVA","LNC(lado não cabine)","23","155","282","259","189","189","189","189","77","1,046","13.9","69.5","2"
"PZ1001SA42","Pit Viper/DR416i","202504586620","9/26/2025","FASE 6","20,960","BRUNO SILVA","LC (lado cabine)","23","154","280","259","189","189","189","189","83","1,047","13.8","69","0"
"PZ1001SA42","Pit Viper/DR416i","202504586620","9/26/2025","FASE 6","20,960","BRUNO SILVA","LNC(lado não cabine)","23","155","279","258","189","189","189","189","77","1,045","13.6","69.4","2"
"PZ1001SA37","Pit Viper/DR416i","202503994049","8/12/2025","FASE 6","9,865","BRUNO SILVA","LC (lado cabine)","23.5","155.5","283","189","189","189","189","189","83","1,045","13.8","72.5","3"
